run_id,fusion_type,pruned,prune_amount,test_accuracy,svm_model_path
run1,representations,unpruned,N/A,69.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1_unpruned_representations_fusion_svm_acc_69.32.joblib
run2,representations,unpruned,N/A,69.53,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2_unpruned_representations_fusion_svm_acc_69.53.joblib
run3,representations,unpruned,N/A,68.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3_unpruned_representations_fusion_svm_acc_68.32.joblib
run1,representations,pruned,4_00percent,68.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_4_00percent_representations_fusion_svm_acc_68.72.joblib
run2,representations,pruned,4_00percent,69.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_4_00percent_representations_fusion_svm_acc_69.26.joblib
run3,representations,pruned,4_00percent,68.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_4_00percent_representations_fusion_svm_acc_68.45.joblib
run1,representations,pruned,7_84percent,68.59,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_7_84percent_representations_fusion_svm_acc_68.59.joblib
run2,representations,pruned,7_84percent,69.15,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_7_84percent_representations_fusion_svm_acc_69.15.joblib
run3,representations,pruned,7_84percent,68.27,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_7_84percent_representations_fusion_svm_acc_68.27.joblib
run1,representations,pruned,11_53percent,69.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_11_53percent_representations_fusion_svm_acc_69.50.joblib
run2,representations,pruned,11_53percent,68.88,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_11_53percent_representations_fusion_svm_acc_68.88.joblib
run3,representations,pruned,11_53percent,68.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_11_53percent_representations_fusion_svm_acc_68.99.joblib
run1,representations,pruned,15_07percent,68.94,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_15_07percent_representations_fusion_svm_acc_68.94.joblib
run2,representations,pruned,15_07percent,69.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_15_07percent_representations_fusion_svm_acc_69.18.joblib
run3,representations,pruned,15_07percent,68.4,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_15_07percent_representations_fusion_svm_acc_68.40.joblib
run1,representations,pruned,18_46percent,68.62,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_18_46percent_representations_fusion_svm_acc_68.62.joblib
run2,representations,pruned,18_46percent,69.96,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_18_46percent_representations_fusion_svm_acc_69.96.joblib
run3,representations,pruned,18_46percent,69.02,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_18_46percent_representations_fusion_svm_acc_69.02.joblib
