run_id,fusion_type,pruned,prune_amount,test_accuracy,svm_model_path
run1,softmax,unpruned,N/A,78.48,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1_unpruned_softmax_fusion_svm_acc_78.48.joblib
run2,softmax,unpruned,N/A,78.42,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2_unpruned_softmax_fusion_svm_acc_78.42.joblib
run3,softmax,unpruned,N/A,79.34,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3_unpruned_softmax_fusion_svm_acc_79.34.joblib
run1,softmax,pruned,4_00percent,78.64,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_4_00percent_softmax_fusion_svm_acc_78.64.joblib
run2,softmax,pruned,4_00percent,78.74,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_4_00percent_softmax_fusion_svm_acc_78.74.joblib
run3,softmax,pruned,4_00percent,79.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_4_00percent_softmax_fusion_svm_acc_79.50.joblib
run1,softmax,pruned,7_84percent,78.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_7_84percent_softmax_fusion_svm_acc_78.61.joblib
run2,softmax,pruned,7_84percent,79.36,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_7_84percent_softmax_fusion_svm_acc_79.36.joblib
run3,softmax,pruned,7_84percent,79.53,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_7_84percent_softmax_fusion_svm_acc_79.53.joblib
run4,softmax,unpruned,N/A,78.64,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4_unpruned_softmax_fusion_svm_acc_78.64.joblib
run1,softmax,pruned,11_53percent,79.2,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_11_53percent_softmax_fusion_svm_acc_79.20.joblib
run5,softmax,unpruned,N/A,78.83,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5_unpruned_softmax_fusion_svm_acc_78.83.joblib
run2,softmax,pruned,11_53percent,78.69,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_11_53percent_softmax_fusion_svm_acc_78.69.joblib
run3,softmax,pruned,11_53percent,78.83,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_11_53percent_softmax_fusion_svm_acc_78.83.joblib
run1,softmax,pruned,15_07percent,78.83,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_15_07percent_softmax_fusion_svm_acc_78.83.joblib
run2,softmax,pruned,15_07percent,79.42,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_15_07percent_softmax_fusion_svm_acc_79.42.joblib
run3,softmax,pruned,15_07percent,78.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_15_07percent_softmax_fusion_svm_acc_78.72.joblib
run1,softmax,pruned,18_46percent,79.04,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_18_46percent_softmax_fusion_svm_acc_79.04.joblib
