stream,prune_percent,W_statistic,value
temporal,4.000000000000004,6.0,0.8125
temporal,7.840000000000002,1.0,0.125
temporal,11.526400000000002,7.0,1.0
temporal,15.065344000000003,5.0,0.625
temporal,18.462730240000003,5.0,0.625
temporal,21.724221030400003,3.0,0.3125
temporal,24.855252189184007,0.0,0.0625
temporal,27.86104210161665,4.0,0.4375
temporal,30.746600417551985,3.0,0.3125
temporal,33.51673640084991,3.0,0.3125
temporal,36.17606694481592,1.0,0.125
temporal,38.72902426702328,1.0,0.125
temporal,41.179863296342354,2.0,0.1875
temporal,43.53266876448867,3.0,0.3125
temporal,45.79136201390912,0.0,0.0625
temporal,47.95970753335276,0.0,0.0625
temporal,50.04131923201864,0.0,0.0625
