epoch,run1_trainacc,run1_trainloss,run1_valacc,run1_valloss,run2_trainacc,run2_trainloss,run2_valacc,run2_valloss,run3_trainacc,run3_trainloss,run3_valacc,run3_valloss,run4_trainacc,run4_trainloss,run4_valacc,run4_valloss,run5_trainacc,run5_trainloss,run5_valacc,run5_valloss,avg_trainacc,avg_trainloss,avg_valacc,avg_valloss
1,59.3948142,2.506410279,77.75216043,1.493589965,59.28985821,2.519292798,77.95652152,1.490354153,59.49567722,2.5,77.85302345,1.442675122,59.18605125,2.512820436,78.21221292,1.461538692,59.3948142,2.506410279,77.75216043,1.500000122,59.35224302,2.508986758,77.90521575,1.477631611
2,82.49279536,1.121795243,85.61959508,0.865385055,82.62318638,1.110932393,85.26086972,0.860128961,82.6945214,1.111464392,85.21613531,0.88216561,82.68895433,1.108974195,85.63953698,0.84615434,82.59365838,1.108974195,85.51873206,0.871795212,82.61862317,1.112428084,85.45097383,0.865125836
3,87.43516018,0.73076956,88.94812853,0.628205094,87.69564987,0.73794263,88.71014257,0.622187067,87.73774923,0.729298783,89.04899154,0.627388537,87.6744205,0.73076956,88.48837313,0.641026141,87.53602319,0.73076956,88.74639864,0.621795426,87.61580059,0.731910019,88.78840688,0.628120453
4,90.05763711,0.557692879,90.86455279,0.5,90.13043389,0.55144738,90.84057955,0.487138707,90.25936314,0.550955366,90.76368593,0.487261098,90.11627839,0.557692879,90.72674578,0.493590332,90.15850013,0.551282478,90.76368978,0.487179931,90.14444253,0.553814196,90.79185077,0.491034014
5,91.87319836,0.4487185,92.07492824,0.40384618,91.65217294,0.448553601,91.75362066,0.403536991,91.77233149,0.449044391,91.97406138,0.410827441,91.64244103,0.4487185,92.15116191,0.397436512,91.67146848,0.4487185,92.07492824,0.40384618,91.72232246,0.448750698,92.00574009,0.403898661
6,92.68011404,0.378205552,92.57925103,0.365385238,92.86956495,0.384244928,92.66666563,0.352090592,92.88184393,0.385350123,92.88184393,0.353502989,92.86337192,0.384615954,92.96511842,0.358974837,92.98271079,0.371794906,92.57925103,0.358974837,92.85552113,0.380842293,92.73442601,0.357785699
7,93.58789659,0.339743633,93.38616671,0.320513407,93.68115833,0.332798039,93.27535971,0.332798039,93.58789659,0.340764329,93.58789659,0.321655854,93.67732455,0.326923564,93.06686105,0.326923564,93.68875961,0.333333965,93.38616671,0.307692604,93.64460713,0.334712706,93.34049015,0.321916694
8,94.29394926,0.29487229,93.89048949,0.29487229,94.2898524,0.287781919,93.68115833,0.294212688,94.29394541,0.296178293,94.09221938,0.277069818,94.38953456,0.29487229,93.88081368,0.288462133,94.29394926,0.29487229,93.89048949,0.288462133,94.31224618,0.293715416,93.88703407,0.288615812
9,94.59654216,0.269231174,94.49567914,0.262821017,94.69565103,0.268489121,94.2898524,0.268489121,94.69740518,0.264331159,94.09221938,0.277069818,94.69476437,0.269231174,94.18604543,0.269231174,94.69740325,0.25641086,94.39481228,0.25641086,94.6763532,0.265538698,94.29172173,0.266804398
10,95,0.243590057,94.59654216,0.243590057,95.10144772,0.242765553,94.18840468,0.255627582,95,0.245222684,94.79826627,0.245222684,95.10174456,0.243590057,94.49128106,0.250000703,95.10086494,0.230769743,94.09221938,0.25641086,95.06081144,0.241187619,94.43334271,0.250170377
