epoch,run1_trainacc,run1_trainloss,run1_valacc,run1_valloss,run2_trainacc,run2_trainloss,run2_valacc,run2_valloss,run3_trainacc,run3_trainloss,run3_valacc,run3_valloss,run4_trainacc,run4_trainloss,run4_valacc,run4_valloss,run5_trainacc,run5_trainloss,run5_valacc,run5_valloss,avg_trainacc,avg_trainloss,avg_valacc,avg_valloss
1,7.863804952,4,18.26627135,3.591397714,8.711660318,3.88481691,20,3.141361351,9.268319744,3.895013124,21.21951187,3.454067967,10.60241591,3.834808452,20.48192951,3.256637445,10.89820532,3.763513532,19.76047356,3.38851329,9.468881249,3.875630404,19.94563726,3.366395553
2,27.18268326,2.784946076,32.87927425,2.548387257,27.85276252,2.753926704,31.28833968,2.607329681,29.51221491,2.719159837,33.65854782,2.939632516,30.60239408,2.637168551,30.60239408,2.719764325,32.21554707,2.577702542,34.61075668,2.516891891,29.47312037,2.694580742,32.6078625,2.666401134
3,43.2817501,2.086021323,41.30031893,2.548387257,43.31288316,2.083769456,42.82206503,2.198952945,45.60974925,2.026246619,43.90244938,2.393700683,47.22892083,1.935103883,42.40964411,2.182891205,48.74250616,1.847973178,43.71256964,2.121621496,45.6351619,1.995822892,42.82940942,2.289110717
4,57.64706938,1.516128915,49.47368943,2.279570045,57.30061493,1.518324653,45.52146648,2.345549569,59.02439841,1.45931733,47.80488364,2.099737512,60.96385213,1.387906045,48.67468178,1.955752531,62.15568545,1.310810748,50.41915471,1.888513483,59.41832406,1.438497538,48.37877521,2.113824628
5,69.53560916,1.064515916,49.96904722,2.043010816,69.32514905,1.057591495,49.44785242,2.010471344,70.73171049,1.007873845,51.70730859,1.889763761,73.01204393,0.933629092,52.77108722,1.873156758,74.3712508,0.895269621,53.53292538,1.89864885,71.39515269,0.991775994,51.48564417,1.943010306
6,79.938085,0.688171818,51.4551206,2.408601979,78.65030045,0.712041027,51.65643573,2.534031569,80.7317134,0.650918709,51.46341924,3.09711283,83.13252688,0.572272237,51.8072282,2.089971107,83.95208923,0.550675672,52.09580327,2.374999855,81.28094299,0.634815893,51.69560141,2.500943468
7,87.12073992,0.43010754,50.46440502,2.978494797,86.99386237,0.439790669,55.09202226,2.722513171,87.56097801,0.419947502,50.73171398,2.267716353,87.9518036,0.407080296,53.4939585,2.337758428,90.17963969,0.327703025,54.25149557,2.152027209,87.96140472,0.404925806,52.80671907,2.491701992
8,92.32198256,0.258064688,54.17957429,2.086021323,92.63803222,0.251309068,55.09202226,2.136125479,92.43902548,0.262467189,53.41464568,2.099737512,93.25300983,0.241888355,56.14457541,1.883481475,97.8443077,0.104729992,61.6766417,1.726351488,93.69927156,0.223691858,56.10149187,1.986343455
9,98.51393135,0.075268491,60.37152307,1.741935209,98.52760644,0.073298112,60.24539269,1.738219788,98.04877822,0.08398902,60.24391028,1.879264833,98.07228655,0.076696807,61.92771115,1.718289534,99.76047813,0.023648608,62.6347292,1.66554045,98.58461614,0.066580208,61.08465328,1.748649963
10,99.7523211,0.032257573,61.60991282,1.763440668,99.50919123,0.020942089,61.47238654,1.643978787,99.7560967,0.020997055,62.68293402,1.648293626,99.75903524,0.025074399,62.40964066,1.584070565,99.76047813,0.013513628,62.39520276,1.766891794,99.70742448,0.022556949,62.11401536,1.681335088
